fold,best_epoch,best_validation_loss,threshold,validation_youdens_j,validation_sensitivity,validation_specificity,accuracy,precision,recall_sensitivity,specificity,f1,roc_auc,segment_accuracy,segment_f1,segment_roc_auc,n_train_subjects,n_validation_subjects,n_test_subjects
1,14,0.524069606071869,0.581863212110432,1.0,1.0,1.0,0.6153846153846154,0.625,0.7142857142857143,0.5,0.6666666666666666,0.6666666666666667,0.6037376048817696,0.6794199321197162,0.6327017604693336,41,11,13
2,1,0.6779851699578215,0.5344722334939148,0.2666666666666666,0.6666666666666666,0.6,0.9230769230769231,1.0,0.875,1.0,0.9333333333333333,0.9750000000000001,0.7025189924030388,0.7974959172563963,0.8406722457138875,41,11,13
3,4,0.6602339917529646,0.6575103089855048,0.6666666666666665,0.6666666666666666,1.0,0.7692307692307693,0.8333333333333334,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.9285714285714286,0.650281425891182,0.7449370552818829,0.7996475808913049,41,11,13
4,15,0.5826425280683056,0.5640603039395866,0.8,1.0,0.8,0.7692307692307693,1.0,0.5714285714285714,1.0,0.7272727272727273,0.7142857142857143,0.6615384615384615,0.6864216054013503,0.6926749802285014,41,11,13
5,50,0.614514698006471,0.5030059967227657,0.6333333333333333,0.8333333333333334,0.8,0.6923076923076923,0.6363636363636364,1.0,0.3333333333333333,0.7777777777777778,0.7619047619047619,0.6413551401869159,0.7160037002775208,0.6846738354569724,41,11,13
