channel,biomarker,n_ad,n_cn,ad_mean,ad_median,cn_mean,cn_median,mean_difference_ad_minus_cn,mann_whitney_u,p_value,rank_biserial_effect,fdr_q_value,significant_fdr_0_05
C3,delta_alpha_ratio,36,29,96.47231917911105,98.89603042602539,87.59682056821626,91.09878540039062,8.875498610894795,666.0,0.05825955554115387,0.27586206896551735,0.08805137371560755,False
C3,relative_alpha_power,36,29,0.015417313487786386,0.013540489133447409,0.018004741423345846,0.01609784923493862,-0.0025874279355594595,378.0,0.05825955554115387,-0.27586206896551724,0.08805137371560755,False
C3,relative_beta_power,36,29,0.0036954417656589714,0.0035292243119329214,0.003942166840464905,0.0036410409957170486,-0.0002467250748059333,454.0,0.3730453124323966,-0.13026819923371646,0.4100415417645351,False
C3,relative_delta_power,36,29,0.9267286343706979,0.9305298328399658,0.9265842787150679,0.9293723702430725,0.00014435565562997965,500.0,0.7766164974203399,-0.04214559386973182,0.8133070406055528,False
C3,relative_theta_power,36,29,0.05415861215442419,0.05230502970516682,0.051468800496438455,0.050631895661354065,0.0026898116579857356,697.0,0.02128782532603373,0.3352490421455938,0.037750410244833145,True
C3,slow_fast_ratio,36,29,78.53101306491428,81.83229446411133,71.07320219894936,72.30908966064453,7.457810865964916,676.0,0.04279474390718501,0.29501915708812265,0.06941098706897081,False
C3,theta_alpha_ratio,36,29,4.265082057979372,4.470036268234253,3.645422840940541,3.6507680416107178,0.6196592170388309,765.0,0.0013732162277651128,0.4655172413793103,0.003804953297765833,True
C4,delta_alpha_ratio,36,29,95.98349157969157,100.10323715209961,88.05755786238045,92.01881408691406,7.925933717311125,640.0,0.12099201325356042,0.2260536398467432,0.15932611646260927,False
C4,relative_alpha_power,36,29,0.015626288562392194,0.013555866666138172,0.017801165420176655,0.01618296466767788,-0.0021748768577844607,398.0,0.10314294069523382,-0.23754789272030652,0.1414227949738773,False
C4,relative_beta_power,36,29,0.0036883748123525744,0.0034827974159270525,0.003963214264989927,0.0037482448387891054,-0.00027483945263735276,453.0,0.3660058351212847,-0.13218390804597702,0.4056564672594239,False
C4,relative_delta_power,36,29,0.9266170114278793,0.9307773411273956,0.9269492091803715,0.9304482340812683,-0.0003321977524921582,478.0,0.5659268635571622,-0.08429118773946365,0.6070022004282466,False
C4,relative_theta_power,36,29,0.054068373826642833,0.05296768806874752,0.0512864015482623,0.05073283240199089,0.0027819722783805345,725.0,0.007532190829624289,0.38888888888888884,0.014951960900597468,True
C4,slow_fast_ratio,36,29,78.21073934766981,80.47574234008789,71.21325394202923,72.39817810058594,6.997485405640589,669.0,0.05319553618498935,0.2816091954022988,0.08323536838357158,False
C4,theta_alpha_ratio,36,29,4.229761673344506,4.396415710449219,3.6612777915494195,3.8412277698516846,0.5684838817950868,757.0,0.0019704661920090984,0.4501915708812261,0.004944754783720946,True
Cz,delta_alpha_ratio,36,29,96.23525068495009,98.54620361328125,89.15016161162278,91.2340316772461,7.08508907332731,637.0,0.13078009345427985,0.22030651340996177,0.16887138280989533,False
Cz,relative_alpha_power,36,29,0.015261215131936802,0.014007789548486471,0.017300903283316512,0.014893141575157642,-0.0020396881513797104,399.0,0.1059631080802184,-0.23563218390804597,0.14380707525172498,False
Cz,relative_beta_power,36,29,0.0038120492503771353,0.003359290538355708,0.003983369651089968,0.003343820571899414,-0.00017132040071283269,518.0,0.9631597886664748,-0.007662835249042099,0.97045645373213,False
Cz,relative_delta_power,36,29,0.9268084002865685,0.9294361472129822,0.9269810195626884,0.9301038980484009,-0.0001726192761198897,484.0,0.6206850133657893,-0.07279693486590033,0.6604088542211998,False
Cz,relative_theta_power,36,29,0.05411836598068476,0.05326068215072155,0.05173467908953798,0.050238773226737976,0.0023836868911467773,699.0,0.019846674136109393,0.3390804597701149,0.03567037378516959,True
Cz,slow_fast_ratio,36,29,77.992248111301,80.0252571105957,72.41778189560463,73.97954559326172,5.574466215696361,643.0,0.11178667466377765,0.23180076628352486,0.14867627730282426,False
Cz,theta_alpha_ratio,36,29,4.232616689470079,4.390747547149658,3.719020025483493,3.8715338706970215,0.5135966639865863,729.0,0.00642746622301906,0.39655172413793105,0.013151584733254385,True
F3,delta_alpha_ratio,36,29,82.3865459230211,83.60540008544922,76.23587845111716,71.9225845336914,6.150667471903944,597.0,0.3255281657986049,0.14367816091954033,0.3732348797518487,False
F3,relative_alpha_power,36,29,0.01877675386559632,0.015369166620075703,0.022603036964247966,0.020641086623072624,-0.0038262830986516456,397.0,0.10038278147540862,-0.23946360153256707,0.13907197850238903,False
F3,relative_beta_power,36,29,0.0049403857556171715,0.0046172598376870155,0.004902320143220754,0.004338790196925402,3.806561239641775e-05,508.0,0.8585999092865599,-0.026819923371647514,0.878413753347019,False
F3,relative_delta_power,36,29,0.9153946588436762,0.9209834337234497,0.9213706604365645,0.9246053099632263,-0.005976001592888247,379.0,0.06003411063607649,-0.2739463601532567,0.0897138956696424,False
F3,relative_theta_power,36,29,0.06088818878763252,0.05673331022262573,0.051124005353656306,0.05043472349643707,0.009764183433976212,820.0,8.635367342612731e-05,0.5708812260536398,0.0005776856463289168,True
F3,slow_fast_ratio,36,29,65.56455426745944,67.61088180541992,60.922541322379274,58.606502532958984,4.642012945080168,599.0,0.31270869773579035,0.14750957854406122,0.36482681402508876,False
F3,theta_alpha_ratio,36,29,4.18413543370035,4.203905820846558,3.101851537309844,2.936859369277954,1.0822838963905057,791.0,0.0003950945724641679,0.5153256704980842,0.0013473737984034443,True
