fold,best_epoch,best_validation_loss,threshold,validation_youdens_j,validation_sensitivity,validation_specificity,accuracy,precision,recall_sensitivity,specificity,f1,roc_auc,segment_accuracy,segment_f1,segment_roc_auc,n_train_subjects,n_validation_subjects,n_test_subjects
1,14,0.5237093011027996,0.583791975770938,1.0,1.0,1.0,0.6153846153846154,0.625,0.7142857142857143,0.5,0.6666666666666666,0.6666666666666667,0.6033562166285278,0.6792103639728563,0.6308467543543149,41,11,13
2,1,0.6782568732839407,0.5346892457357876,0.2666666666666666,0.6666666666666666,0.6,0.9230769230769231,1.0,0.875,1.0,0.9333333333333333,0.9750000000000001,0.7001199520191923,0.7967479674796748,0.8414372879720887,41,11,13
3,4,0.6623335493761522,0.6648091488477716,0.6666666666666665,0.6666666666666666,1.0,0.8461538461538461,1.0,0.7142857142857143,1.0,0.8333333333333334,0.9285714285714286,0.6581613508442776,0.7478549681704955,0.7990927420498629,41,11,13
4,15,0.5853887120731535,0.587581946037302,0.6333333333333333,0.8333333333333334,0.8,0.7692307692307693,1.0,0.5714285714285714,1.0,0.7272727272727273,0.7142857142857143,0.6639676113360324,0.6844106463878327,0.6913588525365041,41,11,13
5,50,0.6153314026624376,0.506853785177674,0.6333333333333333,0.8333333333333334,0.8,0.6923076923076923,0.6363636363636364,1.0,0.3333333333333333,0.7777777777777778,0.7619047619047619,0.639797507788162,0.7166921898928025,0.682112567979471,41,11,13
