fold,best_epoch,best_validation_loss,threshold,validation_youdens_j,validation_sensitivity,validation_specificity,accuracy,precision,recall_sensitivity,specificity,f1,roc_auc,segment_accuracy,segment_f1,segment_roc_auc,n_train_subjects,n_validation_subjects,n_test_subjects
1,14,0.5078690567550674,0.5867181330259782,1.0,1.0,1.0,0.6153846153846154,0.625,0.7142857142857143,0.5,0.6666666666666666,0.6666666666666667,0.5995423340961098,0.670846394984326,0.6246673055025795,41,11,13
2,1,0.6762553318809853,0.5337917117392206,0.2666666666666666,0.6666666666666666,0.6,0.9230769230769231,1.0,0.875,1.0,0.9333333333333333,0.9750000000000001,0.7205117952818872,0.8069594034797017,0.8461045816786448,41,11,13
3,4,0.6572305678805089,0.6614368065977781,0.6666666666666665,0.6666666666666666,1.0,0.8461538461538461,1.0,0.7142857142857143,1.0,0.8333333333333334,0.9285714285714286,0.6592870544090056,0.7484764542936289,0.8014942070967177,41,11,13
4,15,0.5916086814319618,0.6094968103288864,0.6333333333333333,0.8333333333333334,0.8,0.7692307692307693,1.0,0.5714285714285714,1.0,0.7272727272727273,0.7142857142857143,0.6740890688259109,0.6956521739130435,0.701929290678174,41,11,13
5,33,0.6137371764921274,0.6853155105521804,0.5,0.5,1.0,0.7692307692307693,1.0,0.5714285714285714,1.0,0.7272727272727273,0.7619047619047619,0.6452492211838006,0.7175193798449613,0.6750573683752534,41,11,13
