comparison,prediction_agreement,pearson_only_correct,candidate_only_correct,exact_mcnemar_p_value,auc_difference,auc_difference_bootstrap_ci_low,auc_difference_bootstrap_ci_high
spearman_minus_pearson,0.9846153846153847,0,1,1.0,-0.0019157088122605526,-0.015328629121732586,0.008620689655172379
coherence_minus_pearson,0.8769230769230769,3,5,0.7265625,-0.0009578544061302763,-0.02083333333333326,0.016409266409266435
