method,run_directory,accuracy,precision,sensitivity,specificity,f1,pooled_oof_roc_auc,fold_roc_auc_mean,fold_roc_auc_sd
pearson,C:\Graph-Based-EEG-Analysis-for-Alzheimers-Disease\results\pearson_reference\20260902_203320,0.7538461538461538,0.7777777777777778,0.7777777777777778,0.7241379310344828,0.7777777777777778,0.7490421455938697,0.8092857142857144,0.1210788615033518
spearman,C:\Graph-Based-EEG-Analysis-for-Alzheimers-Disease\results\spearman_reference\20260902_210719,0.7692307692307693,0.8,0.7777777777777778,0.7586206896551724,0.7887323943661971,0.7471264367816092,0.8092857142857144,0.1210788615033518
coherence,C:\Graph-Based-EEG-Analysis-for-Alzheimers-Disease\results\coherence_reference\20260902_213308,0.7846153846153846,0.8928571428571429,0.6944444444444444,0.896551724137931,0.78125,0.7480842911877394,0.8092857142857144,0.1210788615033518
